sub_axis	n_EC_in_dict	n_EC_present_in_cohort	EC_coverage_pct	sample_coverage_pct	rule_R9_recommendation
H_sink_acetogenesis_WL	6	6	100.0	100.0	EC
H_sink_methanogenesis	5	5	100.0	100.0	EC
H_sink_sulfate_reduction	2	2	100.0	99.7	EC
H_sink_dysbiotic	8	8	100.0	100.0	EC
B12_biosynthesis_de_novo	2	2	100.0	99.7	EC
B12_last_step_adenosyl	1	1	100.0	99.0	EC
B12_cobalt_insertion	1	1	100.0	98.3	EC
B12_DMB_ligand	1	1	100.0	99.0	EC
B12_consumer	2	2	100.0	100.0	EC
K2_pathway_early	3	3	100.0	100.0	EC
K2_pathway_late	2	2	100.0	100.0	EC
K2_last_step	1	1	100.0	99.3	EC
POL_putrescine	3	3	100.0	100.0	EC
GABA	1	1	100.0	99.0	EC
BUT_butyryl_CoA	1	1	100.0	100.0	TAX_first_by_design
PRP_propanediol	2	2	100.0	100.0	EC
LAC_racemase	1	1	100.0	100.0	EC
BA_BSH	1	1	100.0	99.0	EC
BA_dehydroxylation	3	3	100.0	100.0	EC
BA_epimerization	2	2	100.0	100.0	EC
BA_conjugation	2	2	100.0	99.7	EC
Trp_indole	3	3	100.0	100.0	EC
Trp_kynurenine	3	3	100.0	100.0	EC
PROT	3	3	100.0	100.0	EC
Mucin_specialised	5	5	100.0	100.0	EC
Mucin_general	2	2	100.0	100.0	EC
Histamine_HDC	1	1	100.0	99.3	EC
Histamine_HAL	1	1	100.0	99.7	EC
Histamine_NAT	1	1	100.0	100.0	EC
TMA_production	4	4	100.0	100.0	EC
TMA_degradation	2	2	100.0	100.0	EC
UREM	2	2	100.0	100.0	EC
IRON	2	2	100.0	100.0	EC
LPS	2	2	100.0	100.0	EC
ETU	1	1	100.0	100.0	EC
HYS	2	2	100.0	100.0	EC
