sample_id	ENG_z	SYN_cof_z	SYN_carb_z	BA_z	TRP_z	PROT_z	MUC_z	HIS_z	TMA_z	UREM_z	IRON_z	LPS_z	ETU_z	HYS_z	ENG_tier	SYN_cof_class	SYN_carb_class	BA_class	TRP_class	PROT_class	MUC_class	HIS_class	TMA_class	UREM_class	IRON_class	LPS_class	ETU_class	HYS_class	cell_3D
sample_001	-0.14754950863978697	0.03853034206023116	0.6947612491567728	-0.3150966001635798	0.19518459958407383	-1.0169505433799813	1.0085474904374447	-0.2829209491491751	-0.010286977999775071	-0.04353347782606324	0.3496536055951194	0.15745990330940124	-0.5547175008059686	1.037096648487128	T3_ALTERED	SYN_PARTIAL	SYN_carb_RESILIENT	BA_LOW	TRP_MID	PROT_LOW	MUC_HIGH	HIS_MID	TMA_MID	UREM_MID	IRON_MID	LPS_MID	ETU_LOW	HYS_HIGH	T3_ALTERED × SYN_PARTIAL × SYN_carb_RESILIENT
sample_002	0.8925693580551533	1.2155068768824755	-0.6720227705115117	0.957613169773592	-0.9079623408349489	1.067147350970712	0.8733799924961777	-0.4220474362490639	0.03274674633887843	0.02709093506687645	0.09253761193445183	-3.0469339044849004	-1.8115053960550296	0.39946140679416087	T1_EUBIOTIC	SYN_RESILIENT	SYN_carb_FRAGILE	BA_HIGH	TRP_LOW	PROT_HIGH	MUC_HIGH	HIS_LOW	TMA_MID	UREM_MID	IRON_MID	LPS_LOW	ETU_LOW	HYS_MID	T1_EUBIOTIC × SYN_RESILIENT × SYN_carb_FRAGILE
sample_003	-0.522179618648973	-0.6041947947252483	0.8380592696725288	-0.2828507431842998	-1.4043492693134254	0.601026598839025	0.6804350547758808	-0.013794682587824233	0.2194617586357852	-0.09360505515236958	-1.1937446454004752	-0.45478000673166274	-0.2251171202264367	1.0653180571186653	T4_DYSBIOTIC	SYN_FRAGILE	SYN_carb_RESILIENT	BA_LOW	TRP_LOW	PROT_HIGH	MUC_HIGH	HIS_MID	TMA_MID	UREM_MID	IRON_LOW	LPS_LOW	ETU_LOW	HYS_HIGH	T4_DYSBIOTIC × SYN_FRAGILE × SYN_carb_RESILIENT
sample_004	-0.8538992525734501	-0.3385529503973055	0.8451008965408693	-0.4898251070628172	-2.0076229751304258	0.15390234656808677	0.6927454623530771	0.3134774027701968	0.892514860436384	0.2701759292121762	0.3992694010863149	0.5670916643886768	0.6076248144236842	-0.6321828932551813	T4_DYSBIOTIC	SYN_FRAGILE	SYN_carb_RESILIENT	BA_LOW	TRP_LOW	PROT_MID	MUC_HIGH	HIS_MID	TMA_HIGH	UREM_MID	IRON_MID	LPS_HIGH	ETU_HIGH	HYS_LOW	T4_DYSBIOTIC × SYN_FRAGILE × SYN_carb_RESILIENT
sample_005	1.6092426999192826	1.4144115065007798	0.748996766294864	1.4568493236610256	-1.207974360102837	-0.7325323286985873	-0.9347709736533786	0.4234480727020923	-1.860118232926394	0.8855585768052571	0.5603571627245219	-2.1195520409768926	-1.6077160156136852	-2.2420662313740447	T1_EUBIOTIC	SYN_RESILIENT	SYN_carb_RESILIENT	BA_HIGH	TRP_LOW	PROT_LOW	MUC_LOW	HIS_MID	TMA_LOW	UREM_HIGH	IRON_HIGH	LPS_LOW	ETU_LOW	HYS_LOW	T1_EUBIOTIC × SYN_RESILIENT × SYN_carb_RESILIENT
sample_006	1.3393278360249106	1.030834868361343	0.7532763859182968	1.4223036510781104	-0.6962524486160602	-0.6352771915340757	-0.29974896362930425	0.502255161647976	-0.4899459979221677	-0.6715582435732487	1.0841983222381733	-0.31653402350686555	-2.0367841045095774	-1.2532531329641787	T1_EUBIOTIC	SYN_RESILIENT	SYN_carb_RESILIENT	BA_HIGH	TRP_LOW	PROT_LOW	MUC_MID	HIS_HIGH	TMA_LOW	UREM_LOW	IRON_HIGH	LPS_LOW	ETU_LOW	HYS_LOW	T1_EUBIOTIC × SYN_RESILIENT × SYN_carb_RESILIENT
sample_007	-0.394572919625339	0.31723894338630293	0.9923039053023777	0.5381036472804029	-0.16604438042144423	0.29348561514153015	1.6211606691172344	-0.688984302153256	-0.2686514591051911	0.39087191943142224	0.4355762831259457	0.03995065205660867	-0.2251171202264367	0.9560529734605683	T3_ALTERED	SYN_PARTIAL	SYN_carb_RESILIENT	BA_HIGH	TRP_MID	PROT_MID	MUC_HIGH	HIS_LOW	TMA_MID	UREM_MID	IRON_MID	LPS_MID	ETU_LOW	HYS_HIGH	T3_ALTERED × SYN_PARTIAL × SYN_carb_RESILIENT
sample_008	0.13009959302944188	0.16299493066134865	-0.23127616501292497	0.3610554251594171	1.4390215049042445	-0.5473619840662342	-1.14054005080382	0.5174898231317456	-0.26682569791751104	1.0778944224898737	-2.0012209291316547	0.34554224612184997	0.14768008587506537	0.10913183420637387	T2_PRESERVED	SYN_PARTIAL	SYN_carb_PARTIAL	BA_MID	TRP_HIGH	PROT_LOW	MUC_LOW	HIS_HIGH	TMA_MID	UREM_HIGH	IRON_LOW	LPS_MID	ETU_MID	HYS_MID	T2_PRESERVED × SYN_PARTIAL × SYN_carb_PARTIAL
sample_009	0.02141564195094418	-0.12167172238744958	-1.4182559414650788	-0.14337818614096928	-0.28605036039453513	0.9318817480285616	0.11345226232285212	0.4424301846371335	0.08264545904573503	-0.2787817942676886	1.3741222966040068	-0.11641359791889591	-0.030603980536071645	-0.24051601648256843	T2_PRESERVED	SYN_PARTIAL	SYN_carb_FRAGILE	BA_MID	TRP_MID	PROT_HIGH	MUC_MID	HIS_MID	TMA_MID	UREM_LOW	IRON_HIGH	LPS_MID	ETU_MID	HYS_MID	T2_PRESERVED × SYN_PARTIAL × SYN_carb_FRAGILE
sample_010	0.8391607044806532	0.48107646854768404	-0.9860877594929239	0.4717353490757146	-1.8567224740458792	0.7192718842461654	1.3804376512719494	0.583499450607188	-1.5559979885624227	0.3362422916867898	0.08083369165068871	-0.8184107256916812	0.060395716159867316	0.16662436639174377	T1_EUBIOTIC	SYN_PARTIAL	SYN_carb_FRAGILE	BA_HIGH	TRP_LOW	PROT_HIGH	MUC_HIGH	HIS_HIGH	TMA_LOW	UREM_MID	IRON_MID	LPS_LOW	ETU_MID	HYS_MID	T1_EUBIOTIC × SYN_PARTIAL × SYN_carb_FRAGILE
