sample_id	n_ec
S00001	53
S00002	55
S00003	58
S00004	60
S00005	55
S00006	45
S00007	53
S00008	56
S00009	55
S00010	51
S00011	56
S00012	56
S00013	55
S00014	55
S00015	58
S00016	53
S00017	58
S00018	56
S00019	54
S00020	55
S00021	56
S00022	55
S00023	57
S00024	59
S00025	59
S00026	56
S00027	54
S00028	50
S00029	54
S00030	57
S00031	59
S00032	56
S00033	59
S00034	53
S00035	53
S00036	58
S00037	56
S00038	46
S00039	56
S00040	48
S00041	57
S00042	54
S00043	52
S00044	55
S00045	51
S00046	54
S00047	60
S00048	57
S00049	59
S00050	56
S00051	54
S00052	46
S00053	57
S00054	55
S00055	54
S00056	49
S00057	54
S00058	48
S00059	57
S00060	54
S00061	55
S00062	49
S00063	53
S00064	54
S00065	63
S00066	58
S00067	52
S00068	50
S00069	55
S00070	52
S00071	58
S00072	57
S00073	55
S00074	57
S00075	52
S00076	52
S00077	55
S00078	44
S00079	57
S00080	50
S00081	56
S00082	55
S00083	53
S00084	49
S00085	55
S00086	55
S00087	47
S00088	52
S00089	55
S00090	52
S00091	48
S00092	54
S00093	54
S00094	50
S00095	56
S00096	50
S00097	56
S00098	52
S00099	59
S00100	51
S00101	55
S00102	49
S00103	51
S00104	59
S00105	49
S00106	53
S00107	56
S00108	54
S00109	57
S00110	61
S00111	44
S00112	52
S00113	53
S00114	52
S00115	56
S00116	54
S00117	57
S00118	44
S00119	54
S00120	47
S00121	51
S00122	51
S00123	51
S00124	59
S00125	50
S00126	48
S00127	49
S00128	56
S00129	51
S00130	52
S00131	56
S00132	63
S00133	55
S00134	46
S00135	51
S00136	56
S00137	55
S00138	53
S00139	53
S00140	62
S00141	50
S00142	53
S00143	50
S00144	56
S00145	53
S00146	53
S00147	54
S00148	54
S00149	54
S00150	56
S00151	53
S00152	52
S00153	56
S00154	54
S00155	55
S00156	58
S00157	54
S00158	59
S00159	54
S00160	50
S00161	56
S00162	61
S00163	54
S00164	58
S00165	56
S00166	55
S00167	56
S00168	60
S00169	54
S00170	57
S00171	61
S00172	58
S00173	56
S00174	57
S00175	56
S00176	45
S00177	58
S00178	55
S00179	55
S00180	48
S00181	57
S00182	48
S00183	53
S00184	57
S00185	47
S00186	57
S00187	48
S00188	50
S00189	54
S00190	58
S00191	53
S00192	55
S00193	53
S00194	56
S00195	57
S00196	51
S00197	51
S00198	48
S00199	52
S00200	51
S00201	52
S00202	60
S00203	58
S00204	53
S00205	55
S00206	54
S00207	55
S00208	50
S00209	54
S00210	62
S00211	55
S00212	51
S00213	51
S00214	51
S00215	50
S00216	60
S00217	57
S00218	51
S00219	52
S00220	50
S00221	51
S00222	54
S00223	53
S00224	52
S00225	52
S00226	51
S00227	57
S00228	50
S00229	53
S00230	52
S00231	58
S00232	51
S00233	54
S00234	55
S00235	51
S00236	56
S00237	49
S00238	51
S00239	61
S00240	52
S00241	57
S00242	60
S00243	55
S00244	60
S00245	51
S00246	53
S00247	53
S00248	49
S00249	56
S00250	54
S00251	53
S00252	54
S00253	58
S00254	57
S00255	56
S00256	52
S00257	48
S00258	58
S00259	57
S00260	50
S00261	51
S00262	48
S00263	58
S00264	54
S00265	52
S00266	54
S00267	60
S00268	57
S00269	55
S00270	53
S00271	59
S00272	50
S00273	59
S00274	58
S00275	58
S00276	50
S00277	51
S00278	43
S00279	53
S00280	59
S00281	51
S00282	55
S00283	56
S00284	55
S00285	54
S00286	55
S00287	50
S00288	61
S00289	53
S00290	57
S00291	50
S00292	51
S00293	59
S00294	50
S00295	52
S00296	55
S00297	53
S00298	51
S00299	56
S00300	59
S00301	54
S00302	49
S00303	56
S00304	56
S00305	60
S00306	55
S00307	52
S00308	55
S00309	47
S00310	58
S00311	48
S00312	56
S00313	50
S00314	54
S00315	53
S00316	54
S00317	50
S00318	55
S00319	48
S00320	54
S00321	51
S00322	55
S00323	58
S00324	56
S00325	53
S00326	52
S00327	54
S00328	49
S00329	54
S00330	58
S00331	51
S00332	51
S00333	61
S00334	59
S00335	50
S00336	48
S00337	56
S00338	55
S00339	55
S00340	54
S00341	57
S00342	48
S00343	53
S00344	53
S00345	55
S00346	53
S00347	49
S00348	53
S00349	48
S00350	57
S00351	56
S00352	52
S00353	60
S00354	55
S00355	53
S00356	53
S00357	48
S00358	50
S00359	47
S00360	55
S00361	55
S00362	53
S00363	55
S00364	60
S00365	52
S00366	57
S00367	56
S00368	54
S00369	53
S00370	59
S00371	58
S00372	59
S00373	54
S00374	54
S00375	55
S00376	59
S00377	58
S00378	53
S00379	57
S00380	51
S00381	58
S00382	57
S00383	52
S00384	60
S00385	55
S00386	57
S00387	56
S00388	45
S00389	56
S00390	51
S00391	55
S00392	58
S00393	53
S00394	60
S00395	55
S00396	56
S00397	49
S00398	48
S00399	58
S00400	53
S00401	47
S00402	56
S00403	60
S00404	51
S00405	55
S00406	54
