	CRC	IBD	CD	UC	T2D	cirrhosis	valence
ENG	-0.025	-0.026	-0.039	-0.038	0.014	-0.071	protective
GABA	0.064	-0.003	0.021	-0.028	-0.025	0.07	context_descriptive
TRP_indole	0.059	0.022	0.013	0.022	0.03	0.075	ambiguous
POLYAMINES	0.015	0.053	0.067	0.059	-0.009	0.08	context_flag
HIS	0.035	0.027	0.067	0.025	0.002	0.047	presence_flag
PRP	0.124	0.002	-0.057	0.019	-0.001	0.03	context_descriptive
LACTATE	-0.054	0.017	-0.011	0.051	0.018	0.052	danger_lieve
BA_deconj	-0.037	0.038	0.073	0.034	0.032	-0.035	context
BA_secondary	0.031	0.022	0.074	0.014	0.063	0.061	context
TMA	0.063	0.073	0.098	0.09	0.029	0.121	danger
UREM_pcresol	0.005	0.049	0.128	0.088	0.066	0.069	danger
UREM_tyramine	0.031	0.006	-0.035	0.028	0.012	-0.02	context
PROT_stickland	0.044	0.058	0.135	0.029	0.045	0.007	danger
H2S_net	0.06	-0.012	0.03	-0.019	0.053	0.003	context_research
SYN_B12	-0.023	0.002	0.067	-0.012	-0.013	0.03	context_descriptive
SYN_K2	0.066	0.045	0.098	-0.005	-0.024	0.134	context_descriptive
RIBOFLAVIN	-0.003	-0.045	-0.005	-0.092	0.013	0.068	protective_redox_flag
FOLATE	-0.03	0.028	0.03	0.024	0.055	0.114	context_descriptive
MUC	0.024	0.016	0.045	-0.006	0.024	0.103	context
ETU	-0.0	0.069	0.154	0.132	0.03	0.101	danger
LPS_hexaacyl	0.007	0.025	0.066	0.03	0.017	0.127	danger
NAD	0.01	-0.072	-0.104	-0.099	0.002	-0.094	context_descriptive
SACCHAROLYTIC	-0.051	-0.021	-0.021	-0.025	-0.042	0.019	protective
GLYCINE_cleavage	0.615	-0.092	0.233	-0.242	-0.114	0.261	ambiguous
