group	kind	redox_beta	pepfate_beta	n_studies	n_case	dysbiosis_score	prot_beta
HBV;ascites;cirrhosis	disease	0.128	-0.14	1	44	3.233	0.137
ACVD	disease	0.053	-0.195	1	214	2.498	0.129
CD	disease	0.104	-0.1	3	482	2.36	0.158
UC	disease	0.095	-0.1	3	494	2.184	0.097
ME/CFS	disease	0.128	-0.023	1	50	1.913	0.024
BD	disease	0.076	-0.092	1	20	1.747	0.035
adenocarcinoma	disease	0.122	-0.017	2	59	1.722	0.087
IBD	disease	0.069	-0.08	3	976	1.486	0.094
CDI	disease	0.08	-0.046	1	33	1.297	-0.075
cirrhosis	disease	0.062	-0.053	2	17	1.056	0.113
HBV;cirrhosis	disease	0.081	-0.018	1	38	0.998	0.103
asthma	disease	0.053	-0.049	1	24	0.839	0.067
first_episode_schizofrenia	disease	0.031	-0.07	1	35	0.684	0.055
ascites;cirrhosis	disease	0.05	-0.024	1	10	0.498	0.077
schizophrenia	disease	0.016	-0.065	1	76	0.358	0.029
T2D	disease	0.023	-0.051	5	802	0.323	0.035
CAD	disease	0.023	-0.037	1	269	0.158	0.052
repeated_episodes_shizofrenia	disease	0.008	-0.055	1	41	0.089	0.009
migraine	disease	0.003	-0.059	1	49	0.048	0.008
T1D	disease	0.002	-0.058	1	17	0.024	0.059
CRC	disease	0.05	0.039	11	701	-0.207	0.038
adenoma	disease	0.046	0.039	5	209	-0.294	0.042
fatty_liver	disease	-0.012	-0.048	1	41	-0.347	-0.007
HF	disease	0.003	-0.018	1	95	-0.423	0.022
plasmodium_falciparum	disease	0.016	0.004	1	11	-0.433	0.027
NAFLD	disease	-0.007	-0.022	1	77	-0.548	-0.005
PD	disease	-0.06	-0.106	1	31	-0.562	-0.017
healthy (controls)	healthy	0.0	0.0	81	10205	-0.677	0.0
advancedadenoma	disease	0.008	0.016	1	47	-0.71	0.022
IGT	disease	-0.02	-0.002	3	563	-1.019	0.004
carcinoma	disease	0.025	0.084	3	173	-1.186	0.015
hypertension	disease	-0.033	0.045	1	99	-1.782	0.06
STH	disease	-0.021	0.073	1	77	-1.89	0.104
pre-hypertension	disease	-0.05	0.028	1	56	-1.896	0.07
smalladenoma	disease	-0.062	0.044	1	27	-2.294	0.023
largeadenoma	disease	-0.061	0.122	1	15	-3.182	-0.056
healthy eubiotic (clean)	eubiotic	-0.083	0.34	62	3047	-6.068	0.0
