cohort	intervention	phase	eng_sink_mean	eng_sink_sem	pct_oxidized	n
BarYoseph	fmt	donor	1.714	5.467	33.3	6
BarYoseph	fmt	pre	-2.391	3.101	53.8	13
BarYoseph	fmt	post	2.027	2.543	35.7	14
Damman	fmt	donor	12.472	1.221	0.0	13
Damman	fmt	pre	10.414	2.787	0.0	6
Damman	fmt	post	9.552	2.744	0.0	6
FMT_a	fmt	donor	13.294	1.477	0.0	8
FMT_a	fmt	pre	-7.673	3.715	75.0	8
FMT_a	fmt	post	9.06	2.212	9.1	11
FMT_b	fmt	donor	7.64	2.655	0.0	5
FMT_b	fmt	pre	8.647	1.002	4.2	48
FMT_b	fmt	post	9.562	0.84	7.0	71
FMT_c	fmt	donor	8.518	2.014	0.0	10
FMT_c	fmt	pre	-11.6	1.442	84.2	19
FMT_c	fmt	post	0.705	1.034	38.2	68
Hourigan	fmt	donor	-1.694	4.272	62.5	8
Hourigan	fmt	pre	-5.131	4.419	75.0	8
Hourigan	fmt	post	5.096	2.574	12.5	8
Palleja	antibiotics	baseline	3.583	2.725	16.7	12
Palleja	antibiotics	nadir	-8.264	1.9	71.4	21
Palleja	antibiotics	recovery	2.261	1.717	16.7	24
Podlesny	fmt	donor	-3.453	1.602	39.4	33
Podlesny	fmt	pre	-6.343	1.587	56.2	16
Podlesny	fmt	post	-1.652	0.705	38.9	167
Watson	fmt	donor	13.81	0.654	0.0	39
Watson	fmt	pre	-9.321	1.746	78.9	19
Watson	fmt	post	8.739	1.263	11.8	51
Willmann	antibiotics	baseline	-1.129	0.927	24.4	41
Willmann	antibiotics	nadir	-1.183	1.04	32.9	82
Willmann	antibiotics	recovery	-3.335	1.088	36.6	41
