condition	cont_OR_perSD	cont_p	gate_OR	gate_p	pct_cases_oxidized	pct_controls_oxidized	n_studies	grade
CRC	1.047	0.5058	1.084	0.2546	18.6	13.4	11	FORTE
adenoma	0.938	0.62	1.187	0.1113	13.8	6.0	5	FORTE
IBD	0.796	0.1434	2.034	0.0	10.6	3.9	3	FORTE
UC	0.873	0.4105	2.332	0.0519	11.6	3.9	3	FORTE
CD	0.749	0.369	1.589	0.076	10.3	3.9	3	FORTE
cirrhosis	0.413	0.0	1.848	0.0001	48.0	16.6	2	ASSOCIAZIONE
STH	0.479	0.0011	2.01	0.0007	48.1	23.7	1	DEBOLE
T2D	0.936	0.5704	1.016	0.8768	12.2	7.7	5	FORTE
IGT	0.932	0.2635	1.143	0.0466	5.2	4.1	3	FORTE
ACVD	1.278	0.1159	0.938	0.625	27.6	22.8	1	DEBOLE
hypertension	0.71	0.1133	1.325	0.1627	59.6	51.2	1	DEBOLE
schizophrenia	0.884	0.4811	0.979	0.9011	35.5	33.3	1	DEBOLE
ME/CFS	0.802	0.3665	0.943	0.8075	12.0	10.0	1	DEBOLE
