signal	excluded	k	g	se	p	sign	frac_same	g_study	study_left_out	q
Engine~IBD	(POOLED)	5	0.38	0.125	0.0024051413101694	+	1.0			0.0039083546290253
Engine~IBD	HMP_2019_ibdmdb	4	0.451	0.155	0.0034977588719509	+		0.196		0.0039083546290253
Engine~IBD	HallAB_2017	4	0.455	0.158	0.0039227760342052	+		0.127		0.0039083546290253
Engine~IBD	IjazUZ_2017	4	0.325	0.134	0.0150529622852261	+		0.67		0.0039083546290253
Engine~IBD	LiJ_2014	4	0.382	0.138	0.0056267620896267	+		0.372		0.0039083546290253
Engine~IBD	NielsenHB_2014	4	0.262	0.097	0.006786197947	+		0.632		0.0039083546290253
Engine~cirrhosis	(POOLED)	2	0.463	0.124	0.0001980183180648	+	1.0			0.0006435595337109
Engine~cirrhosis	LoombaR_2017	1	0.462	0.132	0.0004579795507242	+		0.471		0.0006435595337109
Engine~cirrhosis	QinN_2014	1	0.471	0.376	0.2100681132386748	+		0.462		0.0006435595337109
Engine~CRC	(POOLED)	11	0.316	0.082	0.0001247425888925	+	1.0			0.0005405512185342
Engine~CRC	FengQ_2015	10	0.338	0.09	0.000181138944511	+		0.137		0.0005405512185342
Engine~CRC	GuptaA_2019	10	0.262	0.071	0.000227192760583	+		0.94		0.0005405512185342
Engine~CRC	HanniganGD_2017	10	0.328	0.088	0.0002059311469336	+		0.18		0.0005405512185342
Engine~CRC	ThomasAM_2018a	10	0.29	0.083	0.000443519371982	+		0.691		0.0005405512185342
Engine~CRC	ThomasAM_2018b	10	0.339	0.086	8.663936691186711e-05	+		0.006		0.0005405512185342
Engine~CRC	ThomasAM_2019_c	10	0.32	0.09	0.0003770394064916	+		0.31		0.0005405512185342
Engine~CRC	VogtmannE_2016	10	0.298	0.088	0.0006579609475686	+		0.491		0.0005405512185342
Engine~CRC	WirbelJ_2018	10	0.322	0.092	0.0004654648986584	+		0.297		0.0005405512185342
Engine~CRC	YachidaS_2019	10	0.354	0.09	8.977464782781643e-05	+		0.125		0.0005405512185342
Engine~CRC	YuJ_2015	10	0.349	0.088	7.59527093805775e-05	+		0.042		0.0005405512185342
Engine~CRC	ZellerG_2014	10	0.275	0.081	0.0006602601361614	+		0.637		0.0005405512185342
UREM~CRC	(POOLED)	11	0.29	0.095	0.0021882594421695	+	0.82			0.0039083546290253
UREM~CRC	FengQ_2015	10	0.327	0.101	0.001166887634156	+		-0.05		0.0039083546290253
UREM~CRC	GuptaA_2019	10	0.219	0.079	0.0056692985127492	+		1.073		0.0039083546290253
UREM~CRC	HanniganGD_2017	10	0.297	0.102	0.0035201694146839	+		0.237		0.0039083546290253
UREM~CRC	ThomasAM_2018a	10	0.249	0.092	0.0068027238355712	+		0.815		0.0039083546290253
UREM~CRC	ThomasAM_2018b	10	0.317	0.1	0.0015945859092178	+		-0.025		0.0039083546290253
UREM~CRC	ThomasAM_2019_c	10	0.256	0.096	0.0076319606012965	+		0.638		0.0039083546290253
UREM~CRC	VogtmannE_2016	10	0.266	0.099	0.0075478205451358	+		0.521		0.0039083546290253
UREM~CRC	WirbelJ_2018	10	0.313	0.105	0.0029685614580679	+		0.127		0.0039083546290253
UREM~CRC	YachidaS_2019	10	0.327	0.109	0.0027713786074426	+		0.092		0.0039083546290253
UREM~CRC	YuJ_2015	10	0.319	0.105	0.0023074295824608	+		0.074		0.0039083546290253
UREM~CRC	ZellerG_2014	10	0.307	0.105	0.0034849732823741	+		0.173		0.0039083546290253
UREM~IBD	(POOLED)	5	0.463	0.146	0.001539948392477	+	1.0			0.0033365548503668
UREM~IBD	HMP_2019_ibdmdb	4	0.562	0.144	0.00010045884239	+		0.178		0.0033365548503668
UREM~IBD	HallAB_2017	4	0.523	0.192	0.0065738345776041	+		0.275		0.0033365548503668
UREM~IBD	IjazUZ_2017	4	0.369	0.142	0.0094561625298088	+		0.919		0.0033365548503668
UREM~IBD	LiJ_2014	4	0.475	0.162	0.0033138942162169	+		0.383		0.0033365548503668
UREM~IBD	NielsenHB_2014	4	0.388	0.148	0.0088606369182583	+		0.665		0.0033365548503668
UREM~cirrhosis	(POOLED)	2	0.484	0.125	9.976946225155028e-05	+	1.0			0.0005405512185342
UREM~cirrhosis	LoombaR_2017	1	0.5	0.132	0.0001545302027951	+		0.364		0.0005405512185342
UREM~cirrhosis	QinN_2014	1	0.364	0.375	0.3317816541625034	+		0.5		0.0005405512185342
UREM~T2D	(POOLED)	6	0.271	0.092	0.0033446774739442	+	0.83			0.0043480807161275
UREM~T2D	HMP_2019_t2d	5	0.286	0.097	0.0032457127742807	+		0.026		0.0043480807161275
UREM~T2D	KarlssonFH_2013	5	0.394	0.05	2.8758956317952207e-15	+		-0.135		0.0043480807161275
UREM~T2D	LiJ_2014	5	0.265	0.103	0.0098771162116802	+		0.2		0.0043480807161275
UREM~T2D	MetaCardis_2020_a	5	0.197	0.095	0.0389109776846166	+		0.436		0.0043480807161275
UREM~T2D	QinJ_2012	5	0.197	0.146	0.1773874565830513	+		0.328		0.0043480807161275
UREM~T2D	SankaranarayananK_2015	5	0.261	0.104	0.011581955297038	+		0.236		0.0043480807161275
UREM~ACVD	(POOLED, k=1)	1	0.569	0.105	5.2364361493677064e-08	+		0.569		
PROT~CRC	(POOLED)	11	0.263	0.054	1.0612575246023914e-06	+	0.91			1.3796347819831088e-05
PROT~CRC	FengQ_2015	10	0.269	0.056	1.6864540641944922e-06	+		0.197		1.3796347819831088e-05
PROT~CRC	GuptaA_2019	10	0.283	0.055	2.7845310362611764e-07	+		-0.179		1.3796347819831088e-05
PROT~CRC	HanniganGD_2017	10	0.266	0.055	1.3202145872577743e-06	+		0.19		1.3796347819831088e-05
PROT~CRC	ThomasAM_2018a	10	0.256	0.055	3.384987217003928e-06	+		0.466		1.3796347819831088e-05
PROT~CRC	ThomasAM_2018b	10	0.259	0.055	2.687166222968173e-06	+		0.363		1.3796347819831088e-05
PROT~CRC	ThomasAM_2019_c	10	0.261	0.056	2.71120233603374e-06	+		0.305		1.3796347819831088e-05
PROT~CRC	VogtmannE_2016	10	0.26	0.056	3.466017030572156e-06	+		0.3		1.3796347819831088e-05
PROT~CRC	WirbelJ_2018	10	0.279	0.057	8.395082008974715e-07	+		0.109		1.3796347819831088e-05
PROT~CRC	YachidaS_2019	10	0.263	0.068	0.0001055402264161	+		0.264		1.3796347819831088e-05
PROT~CRC	YuJ_2015	10	0.255	0.057	6.614691203289516e-06	+		0.35		1.3796347819831088e-05
PROT~CRC	ZellerG_2014	10	0.246	0.056	1.2823702045931164e-05	+		0.467		1.3796347819831088e-05
PROT~IBD	(POOLED)	5	0.62	0.223	0.0053917882224779	+	1.0			0.0063721133538375
PROT~IBD	HMP_2019_ibdmdb	4	0.74	0.218	0.0006891773667239	+		0.206		0.0063721133538375
PROT~IBD	HallAB_2017	4	0.657	0.293	0.0250755539272156	+		0.504		0.0063721133538375
PROT~IBD	IjazUZ_2017	4	0.697	0.265	0.0085792128795904	+		0.308		0.0063721133538375
PROT~IBD	LiJ_2014	4	0.537	0.241	0.0259962370956294	+		1.079		0.0063721133538375
PROT~IBD	NielsenHB_2014	4	0.422	0.142	0.0028723471330146	+		1.115		0.0063721133538375
PROT~cirrhosis	(POOLED)	2	0.491	0.164	0.0027360103305266	+	1.0			0.0039520149218718
PROT~cirrhosis	LoombaR_2017	1	0.567	0.133	1.912093767121421e-05	+		0.135		0.0039520149218718
PROT~cirrhosis	QinN_2014	1	0.135	0.373	0.7179109969620002	+		0.567		0.0039520149218718
STICK_proteolytic~CRC	(POOLED)	11	0.196	0.054	0.000274568141807	+	0.82			0.0007138771686983
STICK_proteolytic~CRC	FengQ_2015	10	0.204	0.056	0.0002726834727847	+		0.099		0.0007138771686983
STICK_proteolytic~CRC	GuptaA_2019	10	0.211	0.055	0.0001231438995825	+		-0.146		0.0007138771686983
STICK_proteolytic~CRC	HanniganGD_2017	10	0.206	0.055	0.0001752723796919	+		-0.052		0.0007138771686983
STICK_proteolytic~CRC	ThomasAM_2018a	10	0.193	0.055	0.0004376687265053	+		0.27		0.0007138771686983
STICK_proteolytic~CRC	ThomasAM_2018b	10	0.186	0.055	0.0007225996929723	+		0.419		0.0007138771686983
STICK_proteolytic~CRC	ThomasAM_2019_c	10	0.199	0.055	0.000334598486139	+		0.146		0.0007138771686983
STICK_proteolytic~CRC	VogtmannE_2016	10	0.197	0.056	0.000432703530973	+		0.182		0.0007138771686983
STICK_proteolytic~CRC	WirbelJ_2018	10	0.19	0.056	0.0007876536573473	+		0.261		0.0007138771686983
STICK_proteolytic~CRC	YachidaS_2019	10	0.217	0.068	0.0013819268604323	+		0.16		0.0007138771686983
STICK_proteolytic~CRC	YuJ_2015	10	0.178	0.056	0.0015800345113863	+		0.377		0.0007138771686983
STICK_proteolytic~CRC	ZellerG_2014	10	0.18	0.056	0.0013856013220261	+		0.382		0.0007138771686983
STICK_proteolytic~IBD	(POOLED)	5	0.51	0.222	0.0214825781635091	+	1.0			0.0232727930104682
STICK_proteolytic~IBD	HMP_2019_ibdmdb	4	0.611	0.267	0.0221039707141655	+		0.168		0.0232727930104682
STICK_proteolytic~IBD	HallAB_2017	4	0.572	0.293	0.0507891128961476	+		0.3		0.0232727930104682
STICK_proteolytic~IBD	IjazUZ_2017	4	0.613	0.261	0.0188743730204473	+		0.088		0.0232727930104682
STICK_proteolytic~IBD	LiJ_2014	4	0.413	0.239	0.0842000421278909	+		1.052		0.0232727930104682
STICK_proteolytic~IBD	NielsenHB_2014	4	0.283	0.122	0.0210055617989191	+		1.062		0.0232727930104682
STICK_proteolytic~cirrhosis	(POOLED)	2	0.09	0.123	0.4649523550031443	+	0.5			0.4649523550031443
STICK_proteolytic~cirrhosis	LoombaR_2017	1	0.114	0.13	0.3807905235645054	+		-0.11		0.4649523550031443
STICK_proteolytic~cirrhosis	QinN_2014	1	-0.11	0.373	0.7689432984606146	-		0.114		0.4649523550031443
GLYCINE~CRC	(POOLED)	11	0.634		6.392596529732933e-06	+				
GLYCINE~CRC	FengQ_2015	10	0.634		3.8537491784547466e-05	+				
GLYCINE~CRC	GuptaA_2019	10	0.477		5.5258910139737656e-08	+				
GLYCINE~CRC	HanniganGD_2017	10	0.669		9.44381522469814e-06	+				
GLYCINE~CRC	ThomasAM_2018a	10	0.63		2.683108822981986e-05	+				
GLYCINE~CRC	ThomasAM_2018b	10	0.64		2.416982705424324e-05	+				
GLYCINE~CRC	ThomasAM_2019_c	10	0.653		2.160786298922858e-05	+				
GLYCINE~CRC	VogtmannE_2016	10	0.69		5.367667262551764e-06	+				
GLYCINE~CRC	WirbelJ_2018	10	0.642		4.015725329173325e-05	+				
GLYCINE~CRC	YachidaS_2019	10	0.689		1.4461279685203382e-05	+				
GLYCINE~CRC	YuJ_2015	10	0.675		1.6081176747862925e-05	+				
GLYCINE~CRC	ZellerG_2014	10	0.599		4.329721334280281e-05	+				
GLYCINE~IBD	(POOLED)	5	0.067		0.6229631178977059	+				
GLYCINE~IBD	HMP_2019_ibdmdb	4	0.099		0.6614320216782981	+				
GLYCINE~IBD	HallAB_2017	4	0.168		0.0974162974838721	+				
GLYCINE~IBD	IjazUZ_2017	4	-0.047		0.7162572458125933	-				
GLYCINE~IBD	LiJ_2014	4	0.033		0.8240523097137005	+				
GLYCINE~IBD	NielsenHB_2014	4	0.103		0.6243414101708002	+				
GLYCINE~adenoma	(POOLED)	5	0.234		0.0077840607380814	+				
GLYCINE~adenoma	FengQ_2015	4	0.241		0.0306438008522438	+				
GLYCINE~adenoma	HanniganGD_2017	4	0.201		0.0300632526374949	+				
GLYCINE~adenoma	ThomasAM_2018a	4	0.261		0.0048055028611049	+				
GLYCINE~adenoma	YachidaS_2019	4	0.311		0.0065237377893496	+				
GLYCINE~adenoma	ZellerG_2014	4	0.187		0.0551085794489291	+				
GLYCINE~T2D	(POOLED)	6	0.054		0.6472704095105049	+				
GLYCINE~T2D	HMP_2019_t2d	5	0.072		0.5728785414064619	+				
GLYCINE~T2D	KarlssonFH_2013	5	0.17		0.0720181887489887	+				
GLYCINE~T2D	LiJ_2014	5	0.011		0.9298886195150088	+				
GLYCINE~T2D	MetaCardis_2020_a	5	-0.051		0.741589426318241	-				
GLYCINE~T2D	QinJ_2012	5	-0.023		0.903340649634993	-				
GLYCINE~T2D	SankaranarayananK_2015	5	0.116		0.2965117178914778	+				
GLYCINE~cirrhosis	(POOLED)	2	0.443		0.4850899657506108	+				
GLYCINE~cirrhosis	LoombaR_2017	1	-0.14		0.2818082629802622	-				
GLYCINE~cirrhosis	QinN_2014	1	1.132		0.00381043731471	+				
HIS_HDC~ICI_response	(POOLED)	4	0.548		0.004719089243317062	+				
HIS_HDC~ICI_response	MatsonV_2018	3	0.719		0.0020252304178409297	+		0.186		
