cohort	channel	raw_beta	raw_p	adj_beta	adj_p	n
PARKINSON (Wallen)	fEUBIOplus	-0.2795501316913949	0.0006725013411955329	-0.21965757630015365	0.014868487682570071	673
PARKINSON (Wallen)	BUT_z	-0.3561039963130342	1.4019964183929358e-05	-0.2710414033641507	0.002585538865378492	673
PARKINSON (Wallen)	FPRA_z	-0.3416518599529171	3.1146306723696005e-05	-0.2732410216154964	0.0022815616919086793	673
PARKINSON (Wallen)	AKK_z	0.08012400124628506	0.33164226262348073	0.06658727189443978	0.47179079513195776	673
PARKINSON (Wallen)	BIFIDO_z	0.30497387049699326	0.00020491397497499024	0.3119456424174463	0.0006406719314643594	673
PARKINSON (Wallen)	SACCHAROLYTIC	0.10239599803235716	0.21462673723620554	0.19517041357554957	0.034227743693879834	673
PARKINSON (Wallen)	BA_deconj	0.2726951198482532	0.000911631162417388	0.30478110563749183	0.0009787699730909175	673
PARKINSON (Wallen)	BA_secondary	0.08499046857750335	0.30309428505062086	0.12966057669887196	0.15996974779345494	673
PARKINSON (Wallen)	PROT_stickland	0.0788374896613176	0.33947012115771846	0.09938386332773995	0.28249656351813024	673
PARKINSON (Wallen)	ETU	0.23033692447276694	0.00514179869572801	0.15328520344140428	0.0907567459354796	673
PARKINSON (Wallen)	LPS_hexaacyl	0.1347690961626816	0.10226669626311002	0.11160939769156802	0.22770824072245546	673
PARKINSON (Wallen)	TMA	0.24889718033930394	0.0024866529468023394	0.2431831431816642	0.008348223841382882	673
PARKINSON (Wallen)	UREM_pcresol	-0.06999802485766039	0.3964097338579341	-0.03552911119320955	0.7004718834453925	673
PARKINSON (Wallen)	UREM_tyramine	0.22087632191658552	0.007308322039902696	0.08963325144318088	0.3258179442760022	673
PARKINSON (Wallen)	H2S_net	0.28631223408802964	0.0004948146018056751	0.19023742311477249	0.037828408481908514	673
PARKINSON (Wallen)	POLYAMINES	0.17268117935930538	0.036174881031909766	0.14710327423746145	0.11114608460443992	673
PARKINSON (Wallen)	HIS	0.020131784098703472	0.8073519064974893	0.05383777800424663	0.5593249582351149	673
PARKINSON (Wallen)	TRP_indole	0.16565985665623295	0.044482915428564786	0.1949420451540059	0.03519394020195372	673
PARKINSON (Wallen)	GABA	0.2644364353025866	0.001303371561851558	0.1384678289100651	0.1294976281635643	673
PARKINSON (Wallen)	MUC_z	0.18499294069847658	0.02477676117429489	0.14118437485470317	0.1264793540352856	673
PARKINSON (Wallen)	LACTATE	0.21425329675985377	0.00927871358591801	0.175671773741485	0.05475840848096114	673
PARKINSON (Wallen)	NAD	-0.04144210339076045	0.6156687778859753	-0.02940383393302534	0.7512172708356682	673
PARKINSON (Wallen)	UREASE_ammonia	-0.21222036902497396	0.009971900354903893	-0.23191767251663922	0.011699076405505318	673
PARKINSON (Wallen)	ENG	0.24871322605194224	0.0025052229128763198	0.1211322031723939	0.18567700172645712	673
PARKINSON (Wallen)	PRP	0.03637995699997313	0.6594521274418433	0.041142027045132375	0.6556885098991099	673
PARKINSON (Wallen)	RIBOFLAVIN	0.06465504229535379	0.43345816419791683	-0.005113495625369441	0.9556705250302746	673
PARKINSON (Wallen)	FOLATE	0.11836128475889103	0.15137127531350927	0.1118354987814836	0.22603880047101674	673
ALZHEIMER (AD vs NC)	fEUBIOplus	0.03891136767994568	0.8045864196016503	0.17269638187658012	0.3173316643060044	181
ALZHEIMER (AD vs NC)	BUT_z	-0.2259347038135334	0.14968360263810326	-0.14601854970322647	0.3955865971896315	181
ALZHEIMER (AD vs NC)	FPRA_z	0.11692097522341227	0.45690761395121005	0.22742459988766292	0.18834996398548356	181
ALZHEIMER (AD vs NC)	AKK_z	0.3957710860983378	0.011115805139607918	0.47126794424264024	0.006205216526984119	181
ALZHEIMER (AD vs NC)	BIFIDO_z	-0.00441874724125716	0.9775871893068067	-0.11490544448070647	0.5044055721372278	181
ALZHEIMER (AD vs NC)	SACCHAROLYTIC	0.30308885608486674	0.052726998263061944	0.26374347442343476	0.1259710008506387	181
ALZHEIMER (AD vs NC)	BA_deconj	0.30623078678087395	0.050294896866655926	0.1810215868524043	0.2891305296087592	181
ALZHEIMER (AD vs NC)	BA_secondary	0.1389582686504465	0.37645255938248157	0.08897846914748632	0.6083504282551966	181
ALZHEIMER (AD vs NC)	PROT_stickland	-0.14367858373783812	0.36042003114068843	-0.1879213664775928	0.27917224145801395	181
ALZHEIMER (AD vs NC)	ETU	-0.09291920928112735	0.5544799985901403	-0.20588714964389732	0.23367810147407048	181
ALZHEIMER (AD vs NC)	LPS_hexaacyl	0.02870353364629153	0.8551882068442961	-0.03346631341570161	0.8473269611704457	181
ALZHEIMER (AD vs NC)	TMA	0.08369867182394963	0.5944772454875068	0.014782446613462771	0.9321434491658978	181
ALZHEIMER (AD vs NC)	UREM_pcresol	0.07938655853225088	0.6136205227547806	-0.007797142268074125	0.9639508823620119	181
ALZHEIMER (AD vs NC)	UREM_tyramine	0.36448452006084026	0.01953903816574911	0.3118900712448383	0.06956121080676858	181
ALZHEIMER (AD vs NC)	H2S_net	0.09892155898199961	0.5291641459003724	-0.016120570696213653	0.9256152973175993	181
ALZHEIMER (AD vs NC)	POLYAMINES	0.004441581702864334	0.9774713985858086	-0.026847198286253284	0.8773099253089771	181
ALZHEIMER (AD vs NC)	HIS	0.10265944194868001	0.5136991145930485	-0.08670921372850617	0.6113796865749743	181
ALZHEIMER (AD vs NC)	TRP_indole	0.18344327623902815	0.24258642253603208	0.1948094445561448	0.2607406321893683	181
ALZHEIMER (AD vs NC)	GABA	0.05808624165980778	0.7118466133401942	-0.10333140797303919	0.5472663886648912	181
ALZHEIMER (AD vs NC)	MUC_z	0.2815200927040109	0.0721784892282199	0.28240500835438	0.10312225214411055	181
ALZHEIMER (AD vs NC)	LACTATE	0.23293113738584195	0.1374022063338027	0.0658086031675989	0.6994539440529026	181
ALZHEIMER (AD vs NC)	NAD	0.10261051278648053	0.513900035643278	0.04021511591133154	0.815805289087194	181
ALZHEIMER (AD vs NC)	UREASE_ammonia	-0.05978070782621297	0.7038290399806735	-0.024380510054633982	0.8885690069751405	181
ALZHEIMER (AD vs NC)	ENG	0.07054789720937808	0.6536747413086222	0.0014324783602759634	0.9934153874499656	181
ALZHEIMER (AD vs NC)	PRP	0.1728159292367953	0.27106555336820704	0.14038351225397125	0.41866295246856444	181
ALZHEIMER (AD vs NC)	RIBOFLAVIN	0.34963533975765404	0.02518365639679605	0.41437900828856317	0.016385585489833536	181
ALZHEIMER (AD vs NC)	FOLATE	-0.02608368542438101	0.8682798163692615	-0.033888071115243966	0.8455450632817989	181
