fEUBIOplus	within_z
0.57	0.54
0.35	0.06
0.34	-0.13
1.05	1.77
0.03	-0.1
0.79	0.21
0.48	0.58
0.56	0.17
-0.1	-0.09
-1.15	-1.59
-0.75	-1.0
0.87	0.5
0.05	-0.71
0.01	0.85
-0.4	0.03
1.02	1.07
-1.18	-0.92
-1.12	-1.83
1.29	0.58
0.53	0.29
0.26	-0.22
1.27	0.76
-0.3	-0.18
0.75	0.63
0.73	0.39
0.64	0.82
0.54	0.6
0.02	0.33
0.07	0.07
-2.98	-3.29
0.07	-0.05
0.65	0.78
0.29	0.01
0.79	1.2
0.68	0.48
1.21	0.68
1.38	1.09
-0.31	-0.3
0.58	0.29
0.66	0.75
1.33	1.67
1.21	0.61
0.91	0.6
-0.98	-1.1
0.37	0.5
1.35	0.96
-0.07	0.3
0.96	0.75
1.15	1.26
-0.05	-0.13
-1.38	-2.21
-1.2	-0.89
-0.11	-0.79
0.85	0.27
1.52	1.26
1.29	0.85
-1.16	-0.55
0.04	0.13
-0.5	-0.84
1.42	1.12
-0.34	-0.56
0.56	1.39
0.94	0.67
-1.0	-1.35
-0.11	-0.11
1.36	0.79
-0.45	-0.92
0.22	-0.44
-0.61	-0.93
1.28	0.51
0.69	0.49
0.36	0.6
-2.25	-2.93
0.2	0.18
0.55	-0.12
1.2	0.71
0.91	0.81
-0.18	-0.46
1.32	1.16
0.07	0.21
0.44	0.84
-0.6	-1.36
0.28	0.43
-1.17	-1.78
0.68	-0.01
-0.1	-0.09
1.28	0.7
0.62	0.4
0.25	0.1
-0.48	-1.2
0.59	-0.3
1.24	0.98
0.3	0.32
0.35	0.25
1.05	0.67
0.63	0.19
0.14	-0.3
-0.83	-0.99
0.14	-0.07
1.03	1.13
0.06	0.45
0.26	0.24
-0.2	-0.69
1.04	0.72
1.21	0.83
0.69	1.6
1.47	0.97
0.26	-0.13
1.42	1.54
-1.59	-1.05
-2.64	-3.04
0.35	0.25
1.27	0.66
-3.51	-2.19
1.02	0.51
0.25	-0.39
0.27	0.11
0.52	0.69
-0.09	0.71
0.11	-0.53
0.34	0.17
0.21	0.05
-0.18	0.89
0.61	0.35
0.02	-0.62
1.18	1.03
0.6	0.53
1.29	0.76
-0.36	0.44
0.34	0.48
1.02	0.5
-0.3	-0.23
-0.0	0.66
0.68	0.33
-0.73	-0.87
0.96	0.51
0.8	0.76
-0.1	0.49
0.9	0.83
1.44	1.01
1.36	0.71
-1.51	-1.68
1.06	0.88
0.11	0.25
0.23	-0.07
-0.94	-1.34
-2.46	-0.85
-1.36	-1.6
-2.99	-2.73
1.15	0.64
-2.87	-2.97
-1.75	-1.48
0.12	-0.22
1.61	1.48
1.38	1.12
0.48	1.03
0.55	-0.0
1.14	0.9
-0.24	-0.61
-1.8	-1.65
-1.12	-0.27
0.67	0.56
0.16	-0.52
0.68	0.86
1.0	0.63
-2.53	-3.08
0.0	-0.14
0.22	0.39
1.45	1.02
-1.89	-1.15
-1.02	-0.85
0.8	0.31
0.94	0.27
1.11	0.8
1.34	0.84
0.83	0.83
-1.22	-1.03
-0.38	-0.28
-0.25	-0.12
0.84	1.73
0.28	0.6
0.71	0.19
0.24	-0.33
0.81	0.51
0.5	-0.09
0.66	0.46
0.16	1.01
1.37	2.1
1.08	0.46
0.92	0.57
1.03	0.29
0.61	-0.21
0.84	-0.04
-0.52	-0.47
1.31	0.87
0.87	1.43
0.73	0.47
-0.81	-1.01
0.45	0.4
1.43	1.47
0.86	0.52
1.28	0.64
0.89	0.79
-0.31	-0.47
0.36	0.25
-0.01	-1.14
-1.99	-1.47
1.39	1.5
-0.52	-0.68
0.88	0.59
-1.32	-1.29
-2.63	-3.07
1.23	0.92
0.02	0.34
-2.73	-2.4
-0.55	-0.34
0.49	0.35
1.07	0.52
-0.09	1.1
0.1	0.06
1.23	0.66
-0.61	-0.54
-0.16	-0.29
1.15	1.11
-2.53	-2.32
0.94	0.35
-2.31	-2.58
0.44	0.48
-0.49	-0.15
0.86	0.48
-2.34	-2.59
0.88	0.68
1.19	0.44
-1.06	-1.01
-0.63	-0.3
-1.01	-1.49
-0.34	-0.69
0.15	0.18
1.39	1.31
0.47	0.18
0.36	-0.17
1.43	0.86
0.39	0.43
0.46	-0.54
-0.44	-0.68
-1.55	-1.46
-0.17	-0.53
-0.7	-0.69
-0.51	-0.74
1.31	0.74
-1.69	-1.89
-1.69	-1.82
0.86	-0.03
1.12	0.77
0.89	1.47
0.55	-0.17
1.05	0.84
0.66	0.8
-1.97	-2.15
0.45	0.66
0.59	0.01
0.48	-0.41
1.29	0.75
-0.65	-1.42
-0.57	-0.67
0.75	0.77
0.48	0.63
-0.78	-1.21
1.17	0.92
1.07	0.71
1.07	0.63
1.32	0.87
-1.68	-0.53
1.16	0.44
0.59	0.65
0.24	-0.25
1.08	0.69
0.53	0.75
-0.99	-1.16
-0.41	-0.85
0.74	0.66
0.48	0.15
-0.38	-0.06
1.2	0.98
1.29	0.63
1.34	1.59
0.48	0.11
-1.15	-1.93
0.5	0.73
1.32	1.13
0.59	0.7
1.27	0.9
0.68	0.25
1.53	1.13
-0.12	-0.21
-0.31	-0.64
0.11	1.58
1.03	0.94
1.06	1.11
-1.01	-1.29
0.75	0.04
0.74	0.33
-0.62	-0.85
-0.56	-0.41
-1.44	-1.63
0.14	0.14
0.31	0.21
0.12	-0.55
-1.51	-1.06
0.76	0.25
-0.65	-0.9
1.1	0.64
0.87	0.25
1.31	0.7
0.54	0.2
-2.37	-2.15
0.59	1.15
0.46	0.72
-2.19	-2.61
-2.05	-1.86
-0.42	-0.62
0.3	-0.24
0.8	0.64
1.21	0.98
-0.25	-0.62
1.06	1.0
0.64	0.72
-0.1	-0.58
0.5	0.24
0.4	0.98
1.58	2.16
0.53	0.77
0.75	-0.12
0.45	0.48
-0.47	-0.59
0.83	0.06
1.21	0.34
1.26	1.22
0.23	0.21
1.43	1.14
-0.84	-0.94
0.62	0.37
0.58	1.15
1.41	1.04
1.16	0.46
-0.08	-0.61
-0.02	0.08
0.84	0.41
0.38	0.37
1.29	1.06
-1.32	-1.9
-0.12	-0.55
0.52	0.69
0.15	-0.15
0.79	0.89
0.1	-0.55
1.3	0.62
-0.17	-0.52
0.21	0.53
-0.08	-0.44
0.6	-0.28
0.41	-0.13
1.32	1.04
-1.46	-1.97
0.29	-0.05
0.64	0.35
-2.34	-2.53
-0.4	-0.63
0.73	0.31
-0.95	-1.29
-0.4	-0.55
-0.04	-0.28
1.26	1.62
0.33	-0.15
-1.23	-1.01
0.87	1.01
0.57	0.47
-0.4	0.89
-0.44	-0.73
0.37	-0.51
-1.32	-0.66
-0.03	-0.83
0.9	0.31
1.36	0.89
-0.17	-0.17
1.39	1.14
-0.4	-0.64
0.24	0.05
0.25	-0.2
0.13	0.07
-1.31	-1.26
0.38	-0.25
-2.07	-2.57
-0.56	-0.75
-1.28	-1.15
1.15	1.02
-0.36	-1.21
1.1	0.21
-2.71	-2.85
1.05	0.96
0.98	0.99
-2.43	-2.29
-3.45	-4.73
0.16	0.21
1.05	0.26
-0.04	-0.16
1.07	0.63
0.41	0.46
-2.84	-2.92
-0.02	-0.35
0.25	-0.03
0.26	0.47
-1.22	-1.51
0.65	0.47
-1.18	-1.48
1.46	0.87
0.7	0.4
-0.48	-0.53
-1.23	-0.67
-0.42	-0.73
0.08	0.94
1.5	0.89
1.32	0.52
0.04	-0.04
-0.96	-1.2
0.26	0.03
1.68	1.99
-1.73	-1.97
0.38	0.53
0.71	0.7
-1.21	-1.08
-1.16	-1.51
-0.79	-1.06
0.52	-0.13
-0.0	0.26
-2.63	-0.81
-0.34	-0.62
0.69	0.32
-1.2	-1.09
1.17	0.28
1.06	0.62
0.92	0.72
-1.06	-1.24
-0.48	-0.36
0.23	0.4
-0.24	0.12
0.9	0.66
1.19	1.0
-2.5	-2.99
0.25	0.46
-0.49	-0.75
1.38	1.36
1.42	1.2
-1.27	-1.26
0.05	-0.52
1.02	0.61
1.02	0.88
1.24	1.37
0.63	0.3
0.33	-0.15
-0.49	-0.15
-0.75	-1.83
0.96	0.67
0.75	1.53
-1.71	-2.31
1.12	0.7
-0.51	-0.94
-0.58	-0.66
1.42	1.08
1.26	0.63
0.2	1.33
0.54	0.38
0.37	0.17
0.64	1.39
0.23	-0.11
1.28	0.58
0.76	2.22
-1.28	-1.38
0.16	-0.19
0.97	1.01
0.49	0.11
0.8	-0.07
0.84	0.39
0.77	0.39
-0.23	-0.42
0.56	0.12
-0.19	-0.86
0.77	0.02
-1.33	-1.74
1.32	0.95
-1.53	-1.99
-0.34	-0.26
0.84	0.48
-0.32	-0.61
0.76	0.28
1.37	1.18
0.65	0.57
1.43	1.02
-0.4	-0.83
1.34	1.41
-1.03	-1.62
-0.14	-0.46
0.93	0.53
0.67	1.11
1.03	0.98
-0.61	-0.4
0.69	-0.15
1.07	0.72
0.3	-0.48
-0.57	-0.98
0.38	0.05
1.43	1.0
0.06	-0.17
1.43	1.12
-1.27	-1.0
-0.83	-0.7
-0.75	0.05
0.39	0.22
-0.72	-0.75
-0.09	-0.72
0.7	0.41
0.69	0.7
0.08	-0.43
-1.41	-1.69
1.17	1.0
0.76	0.69
-2.14	-2.81
-1.65	-1.7
-2.15	-1.88
0.06	-0.5
0.6	0.46
-0.12	-0.15
0.52	1.01
0.1	0.28
0.09	0.76
-1.25	-1.83
-1.01	-0.53
-0.15	-0.38
-0.06	-0.06
0.89	0.47
0.55	0.03
0.74	0.37
0.82	0.53
-1.24	-1.58
1.47	1.38
0.54	0.75
-0.56	-0.74
1.26	0.83
0.74	1.14
0.51	0.62
0.22	0.31
1.22	0.52
0.64	0.41
0.65	0.89
1.51	1.63
1.17	1.35
-1.08	-0.8
0.58	-0.16
0.21	0.25
0.06	-0.11
0.56	0.96
-0.31	-0.46
-1.48	-1.37
1.51	1.21
0.04	-0.58
0.49	1.51
0.8	0.84
0.53	0.4
1.27	0.67
0.57	-0.0
0.88	0.63
-0.37	-0.21
-0.03	-0.02
-1.05	-1.06
-1.91	-2.09
1.24	0.58
1.22	0.48
0.4	0.3
0.06	-0.37
-0.21	1.08
-0.61	-1.15
0.94	0.88
1.38	1.4
0.29	0.07
0.59	-0.13
0.72	0.5
-0.64	-1.2
1.18	1.65
-1.0	-1.29
0.79	0.62
-0.34	-0.76
1.54	1.59
0.51	0.79
-1.62	-1.49
-0.29	-0.75
-1.74	-2.87
0.4	0.62
0.16	0.07
1.3	1.66
0.94	1.05
-1.06	-1.19
0.65	0.57
0.21	0.22
0.4	0.28
0.46	0.47
1.43	0.83
1.15	0.86
-0.82	-1.16
-1.39	-1.88
-2.88	-2.27
0.71	0.39
0.39	0.09
1.25	0.55
1.08	1.22
-1.64	-1.59
-0.49	-0.58
-1.55	-2.21
-1.3	-1.43
1.31	0.59
-1.07	-0.91
-0.26	-0.97
-0.21	-0.11
-0.54	-0.56
0.76	0.32
-0.07	-0.9
0.37	0.48
0.7	0.36
-0.51	-1.15
-0.5	-0.76
-0.13	-0.54
0.95	0.76
0.6	0.5
-3.12	-3.57
0.27	-0.13
1.12	0.63
-0.13	-0.13
0.34	0.16
-0.19	-0.45
-0.52	0.81
-2.43	-2.57
0.52	1.22
-1.39	-1.66
0.31	0.23
0.47	-0.1
0.29	-0.27
1.29	0.74
-0.42	-0.15
0.84	0.24
0.45	0.58
1.38	1.41
0.71	0.37
0.94	0.56
0.64	0.68
0.06	-0.34
0.18	0.06
0.68	0.31
0.85	0.91
-0.54	-0.91
1.45	1.04
0.85	0.54
0.99	0.51
-0.0	-0.59
-2.39	-2.73
-0.27	-0.06
0.77	0.34
-1.94	-1.53
1.21	0.69
1.34	1.02
1.25	0.52
0.31	0.49
0.04	0.04
0.57	1.05
-1.11	-0.69
1.37	0.86
-1.08	-1.33
0.94	0.64
0.79	0.67
0.06	-0.01
0.56	0.49
1.29	0.87
-0.9	-0.71
0.55	0.6
0.37	0.81
0.71	0.88
1.26	0.63
0.81	0.66
-0.39	-0.45
-0.28	0.39
1.39	1.15
0.05	0.01
1.33	0.91
-0.71	-0.7
0.31	0.28
0.38	-0.37
0.35	-0.36
0.97	0.82
-0.67	-0.83
0.02	-0.3
0.54	0.02
1.35	1.17
0.21	0.08
0.11	-0.29
0.63	-0.12
0.49	0.09
0.83	0.27
0.42	0.96
-0.97	-1.32
-0.32	-0.92
0.9	1.31
1.35	0.88
-0.06	-0.78
0.13	0.02
0.59	0.4
-0.88	-0.76
0.48	0.55
0.5	0.01
0.93	0.39
0.29	-0.42
0.61	0.47
0.66	0.71
